label,qtd,palavras
ICE_BUCKETS,400,"bald 329,gel 278,cervej 102,litr 92,alumini 74,inox 56,champanh 35,alc 25,person 24,garraf 22,cop 17,aco 17,metal 17,bar 16,skol 16,plas 15,prat 15,peg 15,term 14,acril 14,port 13,beb 13,budweis 12,antig 11,vidr 11,mad 11,alumiart 10,stell 10,tamp 9,cor 9,un 9,suport 9,artoil 9,brahm 9,pur 8,fret 8,hercul 8,promoca 8,transpar 8,abri 8,cest 8,und 7,duff 7,red 7,cobr 7,tac 7,xcm 6,hom 6,brinox 6,pc 6"
THERMAL_CUPS_AND_TUMBLERS,477,"cop 354,term 351,canec 137,inox 86,caf 52,tamp 51,un 39,descarta 31,viag 30,gel 30,off 26,isop 25,person 24,emborrach 22,cervej 22,hoj 20,uatt 18,alumini 17,cria 17,zon 16,profisso 15,chopp 15,profissa 14,stanley 14,acril 14,comic 14,canud 13,dc 13,plas 12,unicorni 12,pop 12,batman 12,aco 12,lent 11,cam 11,garraf 11,coffe 9,promoca 9,so 9,dart 8,port 8,am 8,hor 8,mm 8,cor 8,chav 8,amig 8,congel 8,lud 8,gam 7"
STABILIZERS_AND_UPS,427,"va 305,nobreak 241,estabiliz 138,bivolt 109,sm 80,nh 58,apc 50,up 49,senoid 41,bat 35,ts 33,sh 32,break 28,said 27,tom 26,pow 26,enermax 25,br 23,premium 23,mon 22,iii 22,biv 21,kva 21,ragtech 19,ii 18,no 17,ah 17,revolution 17,compact 16,eletron 16,net 16,engat 15,station 15,back 15,prote 14,new 14,speedy 14,pc 13,way 13,smart 13,lin 12,entr 12,usb 12,font 12,rack 11,easy 11,xnb 11,pdv 11,pro 10,plu 10"
LED_STAGE_LIGHTS,458,"led 382,par 109,refle 104,dmx 91,rgb 89,strob 87,canha 82,moving 77,iluminaca 68,rgbw 64,lamp 63,luz 58,fest 54,head 43,dj 39,be 38,cre 36,bol 30,slim 29,bivolt 27,digit 27,maluc 26,color 25,efeit 24,spot 23,light 20,control 20,bal 19,painel 19,glob 18,pc 18,mes 15,girat 15,indo 13,rota 13,proje 13,grow 12,jog 12,sup 12,show 12,cor 11,las 11,ritm 11,ribalt 10,disc 9,flash 9,gob 9,profiss 9,pl 9,full 8"
LENS_FILTERS,393,"filtr 380,uv 165,nd 105,cpl 102,lent 89,canon 83,nikon 75,polariz 63,hoy 48,sony 46,mm 45,kenk 40,circul 26,varia 26,dens 26,neutr 26,cam 25,ti 23,up 17,nikk 15,greik 15,hmc 15,digit 15,af 14,ando 14,slim 13,ef 13,st 13,parasol 12,zom 12,pro 12,rosc 12,obje 11,estrel 11,fotobestway 11,cokin 11,fld 11,fuj 11,fret 11,pront 10,entreg 10,grad 10,ed 9,fotograf 9,clos 9,japan 9,fad 9,polar 9,pont 8,filt 8"
ENGINE_OIL_DIPSTICKS,444,"varet 340,ole 334,nivel 114,motor 86,revisa 81,hyund 74,km 72,medi 46,tub 31,gasolin 31,mil 29,aud 26,hb 25,fiat 22,flex 20,vw 19,gol 19,fe 17,peugeot 17,sant 17,gui 16,golf 15,suport 14,ford 14,turb 12,gm 12,gasolina 12,jett 12,ivepart 12,ivec 12,daily 12,passat 11,orig 11,pali 11,pol 11,azer 10,new 10,peak 10,cambi 9,ano 9,merced 9,volkswagen 8,fiest 8,kia 8,sportag 8,filtr 8,citroen 8,vectr 8,tucson 8,can 8"
ROLLER_SKATES,549,"patim 501,roll 197,rod 156,ajusta 70,quad 66,traxart 57,infantil 52,abec 51,lin 49,tamanh 49,class 45,tam 42,in 42,fenix 42,inlin 40,skat 34,bel 33,ox 31,tradic 26,rl 25,sport 25,feminin 25,retr 24,profiss 23,menin 23,cinz 21,lun 20,regula 20,acessori 20,mor 19,proteca 17,street 17,fil 17,styl 17,us 16,all 16,led 16,capacet 15,fret 14,br 13,numer 13,fun 12,freestyl 12,hond 12,gratil 11,sem 11,radic 11,multikid 10,luz 10,st 10"
POOL_LIGHTS,335,"led 292,piscin 234,refle 183,rgb 156,iluminaca 99,com 88,inox 65,lumin 43,font 38,ab 37,touch 36,control 34,tholz 27,sup 25,smd 25,sodram 22,adapt 18,centr 18,nautilu 18,caix 17,encaix 17,fibr 17,vinil 16,color 15,ate 14,m2 14,luz 14,ip 13,cascat 12,pass 12,slim 11,tecn 10,hip 10,nich 10,complet 8,comando 8,pow 8,adap 7,classic 7,disposi 7,transform 7,alven 7,cap 6,mon 6,pool 6,wi 6,garr 6,pc 6,wif 6,pratic 6"
KEY_RACKS,366,"chav 328,port 275,mad 51,mdf 46,pared 33,ganch 30,porta 26,control 23,quadr 22,decor 21,claviculari 18,organiz 18,decoraca 17,cas 15,remot 15,lar 15,metal 14,pratel 13,carr 13,cart 13,celul 12,cabid 12,antig 11,hom 10,caval 10,col 9,gavet 8,sal 8,bols 8,retr 8,suport 8,dec 7,promoca 7,xxcm 7,doc 7,pres 7,mold 7,armari 7,pin 6,lug 6,cru 6,am 6,country 6,pc 6,co 6,fl 6,geek 6,objet 6,rock 6,nich 6"
TV_ANTENNAS,419,"anten 365,digit 207,tv 143,hdtv 117,intern 113,uhf 98,extern 81,cab 61,vhf 59,aquari 41,dtv 41,hd 39,fm 39,ku 32,parabol 29,lnb 28,log 27,amplific 26,mt 22,element 19,band 19,sinal 19,bas 18,proeletronic 18,conver 17,dbi 15,db 14,mastr 14,metr 13,recep 13,lnbf 12,prohd 12,intelbr 12,ima 11,univers 10,century 10,sky 10,simpl 9,complet 9,mhz 9,fio 8,chap 8,multipont 8,divi 8,ai 8,conec 8,promoca 7,philip 7,full 7,capt 7"
