certo_cat,certo_count
AQUARIUM_FILTERS,166
AV_RECEIVERS,219
BABY_CAR_SEATS,216
BATTERY_CHARGERS,151
BICYCLE_HANDLEBARS,161
BOOKCASES,197
CACHACAS,187
CAMERA_CHARGERS,160
CAR_AC_HOSE_ASSEMBLIES,214
CAR_DISTRIBUTOR_CAPS,173
CAR_DOOR_HINGES,213
CAR_ENGINE_CAMSHAFTS,193
CAR_ENGINE_CAMSHAFT_SENSORS,192
CAR_INTERCOOLERS,143
CD_AND_DVD_PLAYERS,212
CELLPHONE_REPAIR_TOOL_KITS,164
CELLPHONE_REPLACEMENT_CAMERAS,222
CLUTCH_FORKS,167
CRANKSHAFTS,216
CRIBS,184
CV_JOINTS,252
DESKTOP_COMPUTER_CASES,203
DJ_CONTROLLERS,211
DOG_CARRIERS_AND_CARRYING_BAGS,159
DRIED_FRUITS,183
ELECTRIC_DRILLS,238
ELECTRONIC_ENTRANCE_INTERCOMS,219
ENGINE_COOLING_FAN_MOTORS,177
ENGINE_OIL_DIPSTICKS,173
ENGINE_VALVES_SPRING_RETAINERS,156
EROTIC_COSTUMES,151
EROTIC_PUMPS,187
FLUTES,154
GATE_MOTORS,225
GPS,197
GUN_HOLSTERS,193
GYM_GLOVES,183
HAIR_BRUSHES,211
HAND_POLISHERS,156
HOME_SHELVES,172
ICE_BUCKETS,183
INTERCOOLER_HOSES,177
IRONS,194
KEY_RACKS,186
KITCHEN_RANGE_HOODS,192
LED_STAGE_LIGHTS,214
LENS_FILTERS,151
LIGHTERS,212
MAKEUP_REMOVERS,174
MEN_SWIMWEAR,169
MICROCONTROLLERS,121
MOTORCYCLE_BATTERIES,233
MOTORCYCLE_CRASH_BARS,190
MOTORCYCLE_FENDERS,211
MOTORCYCLE_JERSEYS,216
MOTORCYCLE_STARTER_MOTORS,195
MUSICAL_TUNERS,188
PADLOCKS,173
PANTS,277
PARTY_HATS,197
PET_COLLARS,201
POOL_LIGHTS,179
POWER_STEERING_HOSES,215
PROTECTION_NETS,282
PUSH_AND_RIDING_TOYS,174
ROLLER_SKATES,252
SCOOTERS,158
SOFA_AND_FUTON_COVERS,197
SOLDERING_MACHINES,199
STABILIZERS_AND_UPS,209
STRAWS,168
SUITCASES,264
SWAY_BARS,151
THERMAL_CUPS_AND_TUMBLERS,224
TOILET_RUGS,231
TOILET_SEATS,229
TOOL_BOXES,176
TOOTHBRUSHES,143
TOOTHPASTES,177
TV_ANTENNAS,159
TV_RECEIVERS_AND_DECODERS,164
VEHICLE_CLUTCH_CABLES,205
WHEELS_BEARINGS,266
erro,474
