label,palavras
ICE_BUCKETS,"gratil,supermerc,heineken,galic,ice,jack,karat,pec,col,reutiliza,rus,sorvet,grand,arienz,canec,decoraca,whisky,antarc,argol,in,falca,fabr,medi,diret,ndeg,artific,design,crist,decor,tim,cervegel,pret,coquetel,barril,champagn,hom,form,verd,jur,label,davidson,banh,dour,marc,conjunt,caix,wolff,pc,cest,brinox"
THERMAL_CUPS_AND_TUMBLERS,"bom,tem,biodegrada,ceram,div,ml,digit,dia,suc,ter,atle,curs,amo,agu,war,gat,cav,miniom,mickey,hom,cas,papel,carr,porcel,coruj,prens,pres,escolh,quent,silicon,st,beb,crist,conjunt,medicin,harry,cha,maravilh,enferm,log,go,pret,mulh,caix,pott,minni,gam,am,amig,mor"
STABILIZERS_AND_UPS,"exx,modul,micr,marc,cubic,porta,tv,mono,sav,cftv,promoca,powerest,comput,automa,padra,ofert,not,watt,manag,ex,jur,ps,extern,max,xbox,bz,full,weg,hz,gratil,gii,bi,fret,sid,ups,bmi,progressiv,interactiv,trivolt,onlin,volt,las,garant,us,aut,ent,lacerd,forc,intelbr,plu"
LED_STAGE_LIGHTS,"ar,triled,sol,flor,fret,gerb,cult,usb,lighting,model,gelatin,complet,fri,holograf,in,pro,promoca,dupl,lent,acm,driv,ws,watt,wash,uv,bluetooth,spectrum,cob,tx,amb,palc,pec,quadriled,chauvet,quent,pront,prov,event,sensor,agu,nf,som,cas,entreg,soquet,crist,full,gob,disc,xw"
LENS_FILTERS,"uva,dhd,adapt,garant,pl,olympu,dx,extrem,nf,format,screen,seri,mass,outr,color,vr,hsm,ate,univers,sup,estoj,tiffen,sel,ultr,cros,smart,promoca,profiss,violet,pentax,mc,in,ii,is,gopr,gratil,usm,cas,close,mad,anel,fin,macr,pont,ultraviolet,dslr,sigm,proteca,fotg,prote"
ENGINE_OIL_DIPSTICKS,"outland,genuin,origin,adit,omeg,mb,ibiz,wr,brasil,buch,mpf,iv,fusion,scan,dobl,xs,str,cc,tiguan,cap,blaz,veracruz,chevrolet,conexa,cors,fit,br,bor,aspir,ap,ac,sav,sien,renault,tod,toyot,sinte,hond,fir,cli,coroll,diesel,sedan,elantr,automa,ate,ix,astr,fox,fiest"
ROLLER_SKATES,"oxel,urban,joelh,ja,mulh,crem,gel,barbi,brind,sup,classic,hyp,nota,pro,dour,gonew,tri,twist,txt,unicorni,fast,rol,semi,fix,rye,pink,bols,barat,alumini,tenil,ajust,bas,disney,glitt,top,premium,ndeg,cor,girl,seguranc,rollerblad,powerslid,row,multikid,est,adult,st,rox,lov,derby"
POOL_LIGHTS,"lum,instalaca,dren,passagem,painel,nivel,tub,metr,lag,monocroma,mont,retorn,ofert,mm,ilumin,plu,fri,powerled,alumini,brustec,fi,veic,colorido,cob,univers,transp,cp,compact,lata,pooltec,simpl,aspiraca,quadr,red,steel,ritm,remot,concret,tim,can,basic,lamp,contr,piscina,rosc,modul,fix,jardim,corp,garr"
KEY_RACKS,"aparec,ving,vidr,caf,arab,romer,estamp,corr,pes,pcbc,dia,entalh,music,king,cor,mod,famil,mao,fret,gam,las,xcm,keychain,jack,plas,sant,prat,caix,amarel,tre,tamp,tamanh,anel,resin,smartphon,lind,lov,marrom,senh,jur,rus,azulej,espelh,brind,bronz,pec,cade,fl,enfeit,cru"
TV_ANTENNAS,"potent,sv,pront,sl,crom,milh,flat,flex,tech,fixaca,estagi,esp,entreg,said,passiv,automo,el,bedin,oi,carr,clar,kit,coax,aq,hdm,dvb,recepca,alt,alcanc,sat,radi,am,primetech,melhor,fret,rg,mta,satelit,tomat,ultr,chav,sup,interi,dupl,pre,ae,analog,pag,suport,capt"
MOTORCYCLE_FENDERS,"gsr,bmw,tanqu,davidson,escap,intern,str,ktm,fret,led,cap,model,pisc,set,plac,pret,dafr,ye,crom,today,esi,cinz,paral,orig,xr,land,racetech,hornet,par,shineray,lat,vermelh,rox,sportiv,sundown,banan,xt,xl,us,cbr,laranj,mix,nxr,prote,pro,harley,tork,tod,fosc,conjunt"
SOLDERING_MACHINES,"ie,vxw,ajust,inox,hz,gram,goody,raz,bocal,esquadr,smart,cort,supertork,bx,tool,cilindr,un,ts,volt,bant,tt,luv,bic,trifas,kab,ak,igbt,malet,weld,handyarc,vision,multiprocess,aparelh,top,fret,touch,esmerilh,ed,dc,temperat,suport,estanh,gratil,eletron,brax,german,ac,sup,vulc,plasm"
MOTORCYCLE_BATTERIES,"zxr,crf,xj,explor,mirag,crypton,gtx,sundown,cca,gt,ytb,cbx,htz,ducat,mmb,vt,comet,shineray,ybr,mbr,mmlb,nx,by,shadow,nxr,tod,vulcan,ten,burgman,cc,rr,gsx,mbrb,hornet,intrud,kasinsk,falcon,xt,xl,twist,mv,ytxa,cod,triumph,cral,clmd,ytxb,es,dafr,faz"
CAR_DISTRIBUTOR_CAPS,"cod,kadet,nov,peugeot,coroll,promoca,chevy,maraj,seat,dart,injeca,bmw,ibiz,volv,fiorin,junt,elb,cobert,logu,inferi,import,dakot,nissan,gasolin,willy,bobin,carbur,tras,pec,pin,cht,suport,superi,tampa,cheroke,caix,fusivel,merced,mi,front,olimpic,escort,voyag,diant,maverick,brasil,distribuica,complet,blaz,chicot"
